id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,Липецкая область,2022,1138140,101.4,194500,642660,300980,8826,9495,10014,11217,11718,13363,13851,13296,13137,13669,12691,13163,12584,13202,12519,11755,11538,11616,10612,10042,9481,9865,9683,9749,9539,10592,11349,12249,12156,12869,14265,16672,17310,18609,19677,20000,19450,19015,19560,17911,16897,17887,16882,17204,16212,16780,17155,16333,15371,15415,15387,16200,14546,14595,13981,14326,15588,15150,16971,16673,17994,19439,18072,18327,17017,16874,16169,15383,13052,13537,12555,12375,12578,9637,8099,7859,4564,3088,2971,4691,6752,6250,6376,5735,4177,3650,2806,1820,1482,1727,1308,1110,833,646,505,313,195,125,85,38,64
12,Московская область,2022,8542257,95.4,1575183,5058072,1909002,80149,88596,86619,100313,107477,119353,119843,114266,109642,108525,100406,97821,90940,89197,83297,78739,78175,72390,77419,81284,77451,90085,82385,77213,76523,91350,100911,85393,90790,100447,111835,154054,155774,152897,164841,168275,173891,155940,159833,153148,141795,167454,146604,138761,124847,137296,132877,123312,113839,115281,107207,124463,106798,108170,92084,94195,107545,97802,110203,106976,107051,128825,111050,111985,98559,105052,104160,98439,86147,87452,77652,80759,78457,62075,58028,53409,38294,22162,18553,26636,39146,39181,38478,34524,30711,22012,17488,11439,9836,10810,6984,6484,4367,3420,2506,1886,1304,830,587,345,178
13,Орловская область,2022,710023,99.5,116682,396230,197111,5294,5685,5819,6574,6872,7918,8187,8039,8110,8343,7887,8006,7720,8011,7466,6751,6627,6817,6969,6556,6143,6452,5871,5998,5635,6350,6632,7330,7625,9020,10045,11295,11661,11384,11543,11417,11138,10715,11142,10595,10228,11043,10375,10558,9943,10377,10302,9995,9510,9574,9857,9700,9091,8907,8776,9150,9735,9337,10801,10760,11305,12378,11524,11842,11373,11443,10689,10307,8940,9079,8390,8196,8613,6927,5736,4999,2543,2114,1932,2878,4027,3720,4054,3840,3012,2433,1757,1073,1020,1101,819,715,493,393,283,187,76,67,41,24,19
14,Рязанская область,2022,1098579,98.8,174458,612415,311706,7876,8615,9236,10168,10925,12665,12476,12381,12258,12317,11648,11305,10636,11670,10836,9446,9716,10155,10738,10225,9654,9690,9138,9530,8894,9483,10008,9910,10512,12850,13670,15771,16517,17859,19084,18287,17704,18059,17241,16955,16511,17112,16501,16097,15840,16215,15728,15831,15399,15577,15651,16126,14350,14284,14106,14721,14272,14810,15916,16453,17669,18845,17831,17740,17614,16342,16435,15483,13712,13657,13178,13060,12975,10468,9797,8382,4618,3289,2893,4582,7604,7003,7012,6261,5359,3874,3268,2186,1883,2069,1486,1292,845,708,531,371,265,160,121,78,25
15,Смоленская область,2022,886900,100.8,140553,502275,244072,6101,6507,7103,7788,8680,9791,9982,10119,10021,9964,9915,9148,9040,9604,9076,7714,7838,7985,8376,8348,8184,8375,8068,7842,7243,7843,8426,8670,8423,9687,11051,12948,13902,14844,16021,15845,15010,14443,14854,13925,13650,14672,13626,13645,13067,13218,12981,12668,12349,12293,12141,12195,11316,11395,11242,11724,11829,12655,13323,13814,14717,15303,14055,14868,14380,14035,13303,12525,11242,11052,10018,10608,10141,8304,7389,5671,3256,2858,2221,3538,4598,4408,4524,4363,3898,2819,2085,1291,1225,1330,1021,1053,666,576,316,273,182,119,75,41,46
16,Тамбовская область,2022,979171,99.5,138830,552146,288195,6315,6405,6951,7572,8424,9226,9751,9676,9661,9651,9344,9777,9290,9339,9016,8432,8770,8943,8895,8712,8940,9332,8488,8528,8184,9186,10114,9605,10177,10900,12035,14241,14921,15487,16227,15913,15884,14709,15041,14344,14116,15507,14185,14343,13342,14628,15066,14166,13735,13587,13482,14326,13538,13309,12579,13522,14672,14207,15711,15814,16322,18137,16881,17364,16005,16284,15342,14375,12478,13160,12693,12318,11961,9759,8375,7214,4638,2879,2840,4196,6865,6502,6219,5610,4146,3431,2738,1921,1504,1767,1321,1047,820,568,431,304,225,130,77,46,37
17,Тверская область,2022,1226038,98.9,203815,679665,342558,9422,9979,10552,11381,12511,14153,14335,14458,14498,15078,14298,12834,12403,13689,13121,11103,11333,10900,11497,11210,10522,10919,10538,10368,9683,10690,11081,10906,11628,13484,15460,18151,19282,20133,21016,20946,20547,20132,20549,19220,18616,19519,18206,18067,17436,18072,18120,17197,16363,16670,16299,16776,15175,15121,14685,15927,16468,16948,17988,18522,20089,20950,19737,19671,19173,18585,18333,17650,15919,15498,14390,14898,14580,11239,10700,8993,5217,3610,2762,4369,7514,6764,7283,6476,6013,3961,3215,2120,1979,2032,1523,1438,957,777,528,337,242,154,85,50,42
18,Тульская область,2022,1496690,102.5,218970,844078,433642,10107,10728,11456,12465,13491,15555,16221,14832,14867,15193,14424,14169,14811,14470,13428,12753,12592,13061,13008,12711,12055,12193,11738,12454,11903,13108,14429,14607,15111,16383,18604,21660,23247,24086,26127,25758,25084,24808,25287,23874,23444,24594,23147,23071,22669,23170,23511,23105,22095,22542,21866,22383,19713,19463,18288,19047,19847,19429,21807,21885,23089,25112,24050,24306,24268,23485,22488,22075,19463,20072,18809,18413,19194,15496,13553,11560,7325,4982,4024,6822,9595,9074,9700,8728,7736,5439,3924,2652,2350,2592,1963,1807,1246,1042,804,544,397,241,177,86,73
19,Ярославская область,2022,1205637,100.1,214396,668932,322309,10227,10588,11147,12343,13271,15199,15440,15177,15347,15200,14254,13918,13963,13497,12741,12084,12303,12574,12542,12219,11613,10650,9952,10411,10074,10413,11093,11776,11230,13209,15252,17357,18245,19909,20780,20228,19885,19469,20233,18811,18100,18767,17905,17981,17644,17736,17485,16995,16870,16818,16300,16130,14971,14431,14566,14875,15204,15528,16613,16628,17735,18177,17078,16953,16663,16018,16429,16232,14469,14576,14188,14125,14364,10486,10176,9005,5243,3691,2920,4791,7950,7304,7618,6827,6461,3973,3312,2291,1943,1831,1501,1440,1040,844,554,418,336,203,93,68,140
20,г. Москва,2022,13015126,98.7,2047759,7539518,3427849,124858,121020,130923,127345,129888,142236,141637,137744,137373,136024,128902,132568,127130,114899,105501,109711,117818,105764,133168,137594,122318,157884,142572,119639,122683,143986,153289,128044,129851,139900,156553,218215,220094,219493,229181,234168,252808,219624,225197,213047,200734,254454,205057,201536,180823,197823,201464,181474,170608,173521,164007,188596,163590,166793,143553,149268,172047,161052,181717,176630,176754,204168,184152,189139,169546,176874,174367,160325,142995,145007,132840,142006,134314,115002,116797,111876,80859,51234,38028,49849,72054,73334,75378,70396,69051,44548,36770,25417,22199,25086,17417,15898,11867,9523,7473,5639,4412,2899,2128,1207,902
