id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
86,Республика Бурятия,2021,980955,101.7,238727,544504,197724,12071,12384,13386,13583,15562,16196,16366,16379,16222,15989,16049,16309,15820,14947,13806,13658,12940,12809,12427,10966,10588,10022,10170,9840,10534,10647,10977,10857,12586,13472,15372,16520,17213,17804,17979,17472,16672,17093,16366,15122,15267,14323,14227,13839,13656,12942,12574,11988,11808,10789,10398,9785,9704,9659,10095,10763,10760,11547,11743,12820,13352,12546,12453,11813,11218,10511,10394,9509,9041,8334,7867,7727,6080,5263,4125,2374,1658,1379,2552,3535,3957,3576,3276,3001,2493,1931,1231,1100,1208,827,796,577,487,302,199,147,128,59,33,8,26
87,Республика Саха (Якутия),2021,987251,103.8,240299,581012,165940,13235,12766,13417,13815,15344,16509,16949,16563,16587,16044,16208,16057,15323,15033,13153,13296,13805,13485,12727,12262,12905,11711,12055,11949,13053,13697,13977,13981,14477,15483,17280,17763,17621,18447,17920,17687,16850,16717,15939,14477,14637,13811,14031,13054,12998,12766,12561,12049,12070,11463,11883,11189,10964,11161,11191,11747,11373,12006,12074,12697,12685,11583,11163,10356,10141,9250,8849,8100,7722,6745,6310,5744,4506,4243,3511,2661,1889,1371,1735,2006,2027,2173,1909,1732,1321,1212,805,686,651,472,391,295,217,171,98,88,45,35,16,12,33
88,Забайкальский край,2021,1014720,103.4,224874,583021,206825,11079,11336,12301,13007,14263,15224,15823,15573,15717,15059,15336,15098,14921,13926,12938,13273,13334,13051,12864,11991,11544,10385,11277,10288,10867,11406,11838,11667,13347,15035,16802,17130,17966,18722,17986,17493,17268,17971,17647,16315,16688,16042,15584,15203,15244,14802,14071,13484,13028,12271,12077,11015,10379,9991,10160,10945,10991,12061,12349,13287,13539,13502,13238,12579,11718,11845,11724,10291,9798,8882,8830,8098,6051,5366,4791,2507,1671,1454,2704,3695,3780,3680,3053,2886,2161,1703,1128,884,970,699,784,595,459,298,210,160,100,72,35,8,32
89,Камчатский край,2021,293252,104.2,57006,175805,60441,3213,3203,3356,3611,3857,3988,3934,3988,3894,3718,3379,3508,3483,3412,3197,3265,3040,2880,2749,2675,2706,2648,2859,2588,2985,3065,2970,3003,3525,3997,4794,5095,5418,5685,6121,6051,5426,5614,5239,5000,5276,4876,4778,4554,4579,4932,4635,4429,4479,4272,4261,4051,3884,3616,3773,3907,3716,3885,3829,3984,4026,3605,3687,3422,3218,3239,3143,2916,2926,2747,2641,2642,2198,1884,1691,1211,882,741,971,1087,1070,1022,782,688,489,373,245,198,154,122,117,79,62,46,28,23,10,4,3,2,3
90,Приморский край,2021,1858194,104.7,325199,1077313,455682,17275,17238,18832,19688,21945,22821,22651,22793,22881,21472,21097,20634,19639,19623,17893,18717,18257,20156,21081,20793,20788,17705,17539,15825,17905,19018,18706,19527,21906,26278,30066,31070,31203,33200,32872,32144,31458,31962,31186,29841,31709,29459,29538,28144,28982,29277,28099,27190,27539,26767,26894,24659,23269,22189,23178,23313,23836,24532,24660,25556,27265,24482,24142,23504,22664,23327,23468,21707,22083,20455,19799,19460,16403,16178,13751,8806,6663,5906,7841,10081,10091,9368,7815,7490,4895,4028,2632,2033,2247,1381,972,788,609,507,322,237,131,107,44,12,25
91,Хабаровский край,2021,1295100,105.0,243995,750525,300580,12989,14007,14983,15470,17039,18383,17741,17346,17193,15888,14753,14432,13855,13348,13145,13423,13233,14427,14418,14329,13785,12513,13203,11933,13471,14624,13884,13968,15751,18830,22912,23189,22801,24433,24557,23522,22774,22663,21933,20673,22546,20302,20285,19311,20320,19578,18589,17758,18007,17264,17595,15878,14951,14058,14541,15625,14978,15940,15612,16183,17555,15984,15317,14513,14700,15580,15975,14608,14815,13844,13892,13132,10919,10574,9269,5738,4394,3373,5373,6474,6398,5900,5260,4717,3580,2670,1774,1466,1415,1090,975,754,593,432,321,214,135,107,56,23,49
92,Амурская область,2021,773692,106.2,156999,443548,173145,7761,7909,8734,9378,10198,10589,10842,11041,11254,10730,10248,9763,10190,9882,8810,9670,9368,9867,9153,8454,8683,7740,7959,7248,8272,8773,8130,8296,8938,10206,12976,13000,12826,13645,13836,13675,12807,13397,13279,12115,13417,12342,12271,11078,12220,12148,10910,10286,10665,10091,10474,9381,8861,7918,8245,8926,8567,9648,9126,10018,11003,10385,10235,9398,9798,9730,9673,8646,8883,8238,7980,7356,5640,5509,4431,2755,1913,1889,2484,3135,3270,2927,2596,2307,1777,1343,810,659,651,491,414,378,269,162,116,89,61,24,15,6,12
93,Магаданская область,2021,137346,102.9,25407,83639,28300,1296,1268,1424,1560,1638,1704,1748,1808,1837,1740,1606,1613,1627,1568,1456,1514,1531,1368,1283,1121,1188,1193,1254,1165,1290,1470,1300,1539,1636,1906,2080,2198,2438,2551,2542,2544,2544,2646,2541,2465,2614,2583,2570,2365,2432,2346,2373,2279,2217,2185,2149,1951,1842,1734,1753,1801,1861,2015,1929,1973,1967,1925,1960,1742,1660,1601,1672,1414,1504,1346,1190,1229,948,787,635,372,306,246,346,371,411,349,312,251,154,108,67,50,57,25,44,35,19,24,18,7,7,8,4,1,2
94,Сахалинская область,2021,469269,96.9,83875,272443,112951,4608,5383,5263,6139,6818,5517,5289,5202,5071,4866,5196,4973,5145,4886,4728,4791,4473,3833,3795,4291,4668,4407,4566,4088,5004,5043,4790,4638,5258,6274,7180,7558,8005,8757,8932,8632,8073,8302,8304,7560,8263,8004,8550,7720,7882,7954,7328,6846,6878,6727,6703,6063,5990,5217,5526,5798,5554,6144,6022,6310,6981,6516,6531,6261,6183,6440,6671,6081,6010,5569,5100,5110,3727,3557,2863,1850,1380,1211,1537,1935,1885,1778,1652,1421,1123,799,615,506,564,365,346,267,205,131,114,87,54,28,17,4,10
95,Еврейская автономная область,2021,152567,101.4,30941,86441,35185,1615,1669,1809,1856,2071,2183,1985,2021,2112,2043,1956,1898,2200,1995,1761,1767,1691,1596,1643,1529,1552,1472,1435,1371,1526,1683,1595,1777,1886,2192,2453,2483,2640,2721,2637,2615,2479,2667,2482,2431,2511,2432,2451,2285,2473,2356,2214,2163,2188,2009,2027,1824,1684,1648,1609,1764,1720,1852,1893,1955,2098,1953,1943,1860,1897,1912,1970,1816,1865,1697,1634,1481,1220,1123,1010,583,445,406,587,676,646,664,554,466,353,269,182,132,131,103,101,77,37,46,30,11,17,9,4,1,3
96,Чукотский автономный округ,2021,47583,104.6,10749,30236,6598,526,557,637,676,690,729,727,679,707,666,712,681,738,665,632,727,709,626,489,432,471,444,445,507,491,546,627,552,676,683,823,777,854,924,969,966,861,877,896,867,866,853,884,804,785,809,737,730,761,756,764,721,678,624,603,724,660,683,641,695,631,549,532,477,459,402,384,341,274,230,234,166,131,165,104,54,49,47,56,49,57,41,31,27,18,7,8,3,3,8,0,3,2,0,1,0,0,1,0,0,0
1,Российская Федерация,2020,147959284,103.8,27440376,83679304,36839604,1472367,1593682,1680413,1878353,1942669,1925064,1910175,1921722,1816159,1755914,1721431,1715135,1616092,1486284,1515780,1489136,1526489,1492446,1398473,1499558,1401357,1398455,1337702,1469311,1572936,1536507,1575108,1782582,1976320,2372111,2430520,2494557,2616755,2633604,2626133,2481946,2531470,2388606,2263372,2466174,2235323,2205737,2090057,2168029,2173800,2050529,1959619,1980232,1901044,2011732,1809158,1801439,1702027,1769751,1900278,1872098,2039878,2070062,2156096,2352295,2165268,2148993,2037552,1993536,1974465,1914709,1703494,1708383,1598640,1583538,1549175,1249797,1168934,1031143,645263,443210,404156,569602,832802,859564,883031,820640,754862,562010,449195,311489,262224,286720,226561,222615,165996,140783,104050,78036,54340,36989,23998,13584,6158,4000,7727
2,Центральный федеральный округ,2020,40418360,104.2,6657308,22887573,10873479,373481,399638,421044,471726,478250,462706,458821,461519,435224,421409,411931,402926,378034,359539,367142,353918,378234,375746,357540,401783,373777,356544,349982,392635,420282,393924,406349,456092,506755,640365,657544,673202,712562,718602,730531,681631,696744,655849,624341,713403,629547,618567,575523,609002,611108,575100,547146,553786,531797,578717,511156,512914,474099,493760,537376,522044,577919,582614,598608,664792,608574,617306,577085,578115,568666,543255,479882,486915,454033,465053,460897,374653,355744,326109,211055,144426,118096,174206,264792,262423,271326,256322,237420,170685,137036,95219,85152,94697,75201,73110,54534,45779,34949,26349,19210,12977,8670,5277,2017,1371,2474
3,Белгородская область,2020,1552957,104.8,262399,867710,422848,13125,14346,15133,17307,17880,18097,18308,18273,17616,16722,17193,17494,16548,15228,14419,14710,14565,13653,12803,13583,12720,13500,13549,14918,16375,17469,17532,19742,20423,23713,23972,25899,26964,27330,26116,26030,26011,24179,22922,23908,22871,22707,21632,22297,22152,21752,20737,21197,20200,20570,18535,18905,19161,20067,20456,21063,23247,24667,25187,26556,24641,24691,23641,22651,21832,21365,19122,19342,18217,17940,18932,14504,11578,11183,5806,4724,4740,7458,10629,10625,10996,10596,9023,7314,4916,2938,2518,3100,2579,3010,2083,1815,1275,953,617,509,247,230,102,106,175
4,Брянская область,2020,1189210,102.9,205258,660823,323129,10358,11428,11801,13626,14375,13267,13534,14050,13552,13174,13692,14151,13389,11392,11821,11648,11625,11226,10142,9646,9749,9761,9967,11406,12385,13200,12960,14652,14902,17594,18269,18535,19582,20679,19317,18707,18965,17416,17189,18478,17261,17548,15997,16843,17325,16540,15963,16171,15859,16920,15370,15852,15305,16112,16734,16242,17814,18339,19193,20836,19073,19100,18370,17722,17378,16217,14126,14658,14054,14274,13874,10436,9322,7814,4570,4179,3730,5606,7539,7438,7645,7307,6553,5467,3981,2499,2488,3058,2118,2496,1715,1518,1015,731,494,344,205,146,45,29,42
5,Владимирская область,2020,1373726,103.0,226615,751368,395743,11100,12699,13124,15453,15871,15258,15165,15943,15098,14618,14613,14660,14015,13120,12949,12929,13619,13195,12301,11689,11091,11407,11146,12122,12631,13331,13786,15424,16759,19503,20372,21450,23227,23173,21776,22300,22647,21367,20178,21171,20772,20127,19193,19867,20358,19438,18490,18970,18334,19012,17028,16767,16407,17922,18064,18653,19728,21175,22123,22787,22608,22615,21658,20292,20746,20972,17749,17535,16693,17025,16774,13658,12629,11114,6897,4922,3949,6106,10383,9642,9905,9494,8740,6039,5230,3770,3225,3123,2681,2511,2051,1560,1258,882,684,411,253,125,81,75,166
6,Воронежская область,2020,2336340,103.2,369616,1307991,658733,19495,21434,22382,25057,26013,25723,25419,26020,24530,23649,23881,23138,21642,19999,20200,21034,20558,20295,21190,22284,20516,21538,21285,21842,23688,25831,27267,31625,32972,37135,37829,39883,40774,40831,39187,38944,38877,35750,34529,35959,33162,32834,32144,32989,32713,32137,30481,31327,30226,30829,28365,28736,28221,29773,30354,31033,34156,35445,36950,39323,37288,37128,36244,34663,33263,32637,28689,29800,27435,26982,29008,23263,19671,18976,10106,7486,7426,11054,17397,17471,17767,16903,13412,11649,8939,5628,5167,6073,5023,4837,3713,3085,2245,1666,1068,764,477,236,97,84,117
7,Ивановская область,2020,953613,101.6,154736,523357,275520,7339,8351,9158,10251,10527,10484,10725,10548,9939,10049,10423,10224,9791,9067,8958,8902,9335,9209,8996,8800,7502,7652,7024,7950,8156,8100,8914,10749,11676,13584,14190,14671,15585,15628,15967,14859,15708,14331,13989,14832,13930,14192,13488,14075,14889,14045,13133,13722,13349,13311,12722,12277,11880,12774,13233,13096,14112,14743,15199,15340,14899,14832,14637,13908,14615,14855,12888,12753,12387,12041,12203,9430,8924,7875,4313,3211,2210,3802,7245,6935,6916,6521,5974,4252,3604,2955,2338,2397,1957,1855,1375,1170,896,655,428,277,197,111,34,22,63
8,Калужская область,2020,1052181,102.4,175674,589987,286520,9291,10763,11252,12509,12901,11726,11719,11928,11308,11370,10690,10621,10359,9599,9838,9800,9909,9629,9401,9047,8898,9079,9069,9308,10484,10523,10704,12066,13786,15832,17068,17848,19324,19056,18371,18168,18354,16774,16128,16855,15843,16044,14957,15487,15493,14549,13950,14361,13959,14303,12985,13002,12711,12995,14392,13559,15158,15865,16095,17331,16496,17285,16138,16039,15314,14707,12806,12951,12441,12155,11873,9723,9272,7838,4796,3444,3032,4787,6833,6562,6689,6602,6260,4604,3314,2184,2248,2285,1982,1966,1288,1102,872,628,456,372,201,119,35,31,57
9,Костромская область,2020,597968,98.6,111189,314109,172670,5474,5711,6484,7242,7553,7723,7829,8038,7604,7321,7263,6923,6684,6261,6467,6612,6001,5617,5146,4732,4288,4174,4144,4540,4616,5019,4939,5700,6578,7752,8366,8819,9662,9286,9170,9446,9906,9009,8894,8930,8752,8754,8247,8515,8361,8218,7900,7831,7522,7539,7136,7071,6876,7461,8248,8311,9081,9659,10374,11328,10614,10825,10154,9611,9443,9345,8045,7933,7552,7577,7499,5336,5163,4357,2447,1645,1360,2335,4129,4028,4249,3783,3305,2388,2116,1813,1426,1361,1072,1019,779,631,512,394,262,138,93,65,24,14,19
10,Курская область,2020,1099627,105.3,185701,602862,311064,9327,10377,10802,12645,13155,13132,13144,13433,13039,11630,11287,12063,11379,9866,9938,10484,10383,9801,9814,10236,9532,9659,9361,10317,10833,11099,11556,12113,13267,15327,16321,17170,18172,17861,17130,17461,17795,16595,15599,16567,15404,15342,15332,15938,15773,15078,14627,14901,14490,15080,13802,13933,13714,14645,15041,15052,17275,17498,18360,19765,18510,19031,17895,17873,16626,15974,14087,14170,13248,12684,13496,10323,8850,8226,4288,3432,3551,5299,7494,7276,7707,7525,6132,5310,3769,2188,2106,2527,2032,2008,1474,1192,852,576,466,314,179,101,52,33,31
11,Липецкая область,2020,1159669,103.3,199196,640999,319474,10048,11213,11708,13319,13841,13308,13138,13623,12668,13069,12618,13155,12456,11715,11629,11688,11088,10587,9588,9730,9327,9400,9265,10415,11348,12171,12118,12839,14059,16517,17200,18505,19658,20002,19381,19085,19683,17986,16907,17967,16920,17308,16420,16899,17256,16507,15572,15702,15622,16423,14697,14871,14365,14738,15952,15648,17514,17415,18680,20124,18888,19101,17990,17589,17129,16298,13965,14573,13656,13456,13882,10799,9089,8853,5120,3596,3471,5623,8226,7716,8107,7486,5732,5043,3930,2652,2331,2666,2246,2009,1543,1306,1035,710,454,305,194,101,48,45,51
12,Московская область,2020,8372871,101.8,1522143,4881807,1968921,82987,96648,104477,117643,118043,110961,107690,108097,99208,94239,88681,86860,81220,76542,76785,72062,74823,77286,74025,83797,76138,72357,71543,84220,92658,80399,84861,95976,108762,146026,148748,148542,160019,163081,167351,152416,156328,149584,139369,162113,143420,136629,124311,134428,130434,122085,113870,114975,107667,122434,105705,106102,92812,94971,106916,99558,111032,109686,110307,129315,113523,114087,102358,107425,107043,102329,89767,91280,82418,84817,83440,66789,63803,58692,40826,25017,20467,30369,46399,46677,47220,43754,40849,29299,23545,16328,14321,15957,12044,11622,8546,6981,5144,3918,2583,1665,1018,672,214,171,272
13,Орловская область,2020,730169,103.7,120100,399878,210191,5903,6627,6957,7998,8251,8104,8174,8373,7889,8040,7783,8036,7488,6811,6706,6960,7051,6706,6210,6530,5994,6343,5940,6560,6840,7574,7795,9111,10015,11192,11696,11461,11657,11455,11150,10836,11244,10667,10349,11128,10480,10623,10089,10520,10369,10156,9676,9825,10095,9859,9283,9036,9019,9448,9953,9628,11161,11175,11724,12833,12044,12425,12019,12063,11396,11001,9532,9762,9165,8972,9527,7659,6488,5676,2845,2448,2249,3466,4907,4596,5146,5025,4022,3383,2538,1622,1580,1708,1390,1382,998,836,603,453,274,196,104,56,11,18,28
14,Рязанская область,2020,1119807,101.8,177226,612054,330527,9265,10191,10931,12631,12446,12350,12262,12258,11637,11273,10706,11539,10722,9433,9631,9951,10222,9737,9632,9952,9133,9716,9265,9707,10195,10115,10733,12899,13884,16035,16601,17894,19063,18254,17658,17914,17279,16899,16408,17033,16434,16126,15881,16155,15786,15880,15426,15682,15802,16280,14480,14401,14311,14951,14475,15064,16197,16847,18022,19293,18340,18404,18269,17148,17207,16410,14582,14629,14182,14175,14246,11561,10992,9501,5266,3795,3386,5403,9125,8498,8768,8111,7034,5214,4563,3220,2735,3067,2505,2139,1607,1388,1103,792,571,362,266,153,58,36,49
15,Смоленская область,2020,916202,102.5,144363,513602,258237,7138,7828,8709,9796,9956,10167,10040,9941,9922,9205,9168,9604,9082,7856,7922,8029,8055,8058,8064,8310,7915,7951,7599,8077,8682,9021,8704,10137,11459,13477,14331,15434,16592,16327,15457,14886,15400,14319,14030,14915,13957,13958,13356,13605,13365,13012,12687,12636,12505,12580,11687,11723,11583,12068,12291,13067,13792,14379,15310,15938,14722,15660,15140,14757,14117,13382,12027,11916,10972,11566,11270,9190,8280,6382,3679,3328,2618,4172,5489,5378,5579,5625,5198,3796,2862,1882,1813,2039,1709,1815,1194,1142,706,611,427,270,180,117,34,44,52
16,Тамбовская область,2020,1005843,104.1,144609,556650,304584,6942,7611,8448,9232,9742,9674,9654,9614,9367,9786,9438,9486,9146,8537,8880,9052,9058,8820,8745,9228,8362,8492,8233,9274,10264,9933,10448,11176,12265,14411,14888,15608,16313,16013,15820,14821,15176,14324,14159,15500,14297,14432,13558,14759,15117,14365,13987,13801,13672,14563,13703,13467,12953,13817,14918,14626,16111,16358,16925,18687,17486,17889,16758,16896,16090,15154,13264,13972,13637,13190,13120,10712,9378,8275,5099,3370,3207,4962,8238,8034,7784,7297,5515,4722,3813,2826,2292,2683,2224,1967,1579,1265,963,748,535,344,233,106,48,43,69
17,Тверская область,2020,1256973,103.9,208477,684247,364249,10605,11469,12589,14187,14337,14576,14592,15094,14326,13005,12665,13671,13132,11327,11596,11306,11745,11556,10409,10515,10026,9932,9616,10710,11264,11285,11835,13558,15552,18155,19379,20168,21191,21058,20721,20348,20748,19467,18741,19564,18380,18264,17820,18312,18390,17438,16728,17052,16678,17098,15482,15405,15138,16329,16872,17488,18592,19222,20822,21651,20561,20575,20218,19505,19390,18851,17018,16687,15589,16142,16043,12459,12000,10169,5867,4138,3178,5164,9130,8271,9165,8391,8032,5431,4467,3197,3038,3126,2599,2576,1847,1541,1155,793,591,372,245,133,66,34,38
18,Тульская область,2020,1518984,103.3,223243,840329,455412,11475,12467,13490,15533,16193,14839,14773,15148,14398,14041,14705,14364,13386,12723,12628,13080,13135,12780,12025,11895,11364,11969,11596,12857,14187,14579,15115,16365,18535,21437,23178,23999,26020,25738,25053,24872,25230,23801,23359,24554,23202,23072,22721,23158,23558,23135,22238,22724,22041,22524,19795,19574,18471,19232,20074,19762,22079,22379,23558,25637,24627,25063,25151,24330,23331,23124,20458,21246,20082,19830,20758,16769,15006,12779,8009,5657,4602,7957,11398,10906,11841,11018,10119,7250,5390,3725,3519,3894,3253,3116,2259,1914,1545,1133,817,524,359,194,86,46,79
19,Ярославская область,2020,1235613,100.9,218200,672649,344764,11141,12337,13238,15258,15405,15218,15411,15215,14270,13918,13999,13485,12799,12131,12116,12259,11983,11723,11759,10834,10120,10816,10495,10696,11298,11955,11359,13338,15394,17545,18489,20132,20979,20499,20158,19717,20512,19071,18424,19127,18179,18306,17970,18103,17813,17371,17228,17206,16691,16555,15396,14828,14958,15342,15725,16068,17194,17324,18468,18929,17903,17819,17583,17052,17487,17374,15573,15746,15393,15525,15836,11636,11424,10171,5946,4270,3363,5628,9507,8892,9517,8642,8317,5235,4555,3331,2840,2852,2444,2315,1882,1546,1130,890,673,411,228,143,105,77,75
20,г. Москва,2020,12946607,103.1,2008563,7467151,3470893,132468,128138,130361,142039,141761,138099,137244,135923,128853,126300,123126,113452,104796,107932,114659,103412,125079,125868,117290,150975,141102,122798,120885,137716,144378,122320,125723,138622,156467,215130,216647,217184,227780,232331,250748,220821,226881,214310,203167,254802,206283,202301,182407,197052,201956,183394,174453,175703,167085,192837,164985,166964,146214,151115,173678,164126,183676,180438,181311,209119,186351,190776,172862,178591,176259,163260,146184,147962,136912,146702,139116,120406,123875,118228,85175,55764,41557,55015,80724,83478,86325,82242,83203,54289,45504,32461,29167,32781,25343,24467,18601,15787,12640,9816,7810,5399,3991,2469,877,463,1091
21,Северо-Западный федеральный округ,2020,13973699,102.1,2276053,8065206,3632440,123113,133384,141487,158277,163496,158803,155401,157647,148232,146821,142811,136680,130478,124521,126699,128203,139684,139486,139444,150611,141064,134974,121572,133156,139394,134255,136195,155854,180043,218612,231472,243086,258180,257840,259995,246552,249859,237635,224950,242980,219587,217943,206778,213894,210067,201451,193252,196083,188103,192978,177293,174854,166226,172544,185411,183970,196091,200552,208602,223547,208347,205885,198915,194751,195177,188310,168057,167351,159666,157640,156951,123740,117891,109397,71591,48436,35838,45999,76818,75947,85050,81045,79261,52691,43452,31744,29116,31192,24669,22004,16523,13763,10490,8010,5591,3735,2632,1742,762,361,987
22,Республика Карелия,2020,550721,104.1,95291,299260,156170,4451,5021,5327,6170,6466,6497,6313,6603,6199,6476,6438,6243,5932,5617,5672,5866,5414,5203,4669,4584,4023,4106,4030,4358,4456,4531,4583,5084,5896,7089,7909,8433,9237,9288,8922,8997,9079,9004,8495,8574,8223,8517,8248,8592,8446,8409,7836,7759,7730,7503,6837,6784,6773,7213,7349,7729,8214,8274,9286,9633,9199,9148,8711,8516,8607,8690,7696,7444,7184,6820,7079,5190,4997,4115,2478,1890,1363,2025,3473,2978,3467,3296,3109,2293,1966,1450,1291,1253,1092,917,710,543,358,317,197,103,72,36,21,2,15
23,Республика Коми,2020,763404,102.1,145518,437801,180085,6837,7319,8477,9536,9946,10324,10264,10019,9315,9641,9556,9439,9181,8459,8403,8802,8444,7913,6545,6091,5774,6178,5973,6554,6822,7103,7303,8242,9209,10261,10873,12097,13613,14214,13890,13842,13954,13509,12699,13161,12371,12413,12047,12315,11890,11562,10974,11296,10944,10397,10040,9762,9522,9962,10555,10611,11299,11762,12372,12839,12123,11933,11168,10634,10220,10136,8550,8575,8262,7951,7778,5626,5051,4302,2491,1812,1520,2439,3515,3410,3644,3225,2914,2150,1719,1277,1204,1174,867,736,595,529,353,294,188,120,80,52,30,17,25
24,Архангельская область,2020,1055460,102.8,194610,576810,284040,9405,10292,11234,12697,12943,13154,13119,13174,12724,12999,12941,12509,12463,11406,11705,11845,11162,11095,9695,8375,7625,8149,8068,8659,9035,8863,8746,9843,11788,13933,15160,16927,18178,17941,17212,17328,18223,17733,16701,17199,16433,16723,16521,16861,16479,15431,14439,14671,13603,13446,12639,12477,12739,13398,13867,13932,14970,15184,16529,17231,16450,16379,15964,15883,16317,16123,13964,13909,13302,12311,12770,8848,8947,8198,4614,3215,2699,4106,6753,6083,6508,5794,5441,3731,3205,2421,2278,2695,1651,1305,1009,848,614,509,327,194,115,77,35,14,33
25,Ненецкий автономный округ,2020,41604,101.4,9694,24141,7769,473,551,551,700,722,621,628,682,572,640,653,614,592,554,583,558,552,501,446,382,347,357,431,410,447,437,399,491,588,658,684,740,824,748,802,721,741,771,705,750,715,719,650,601,640,576,520,545,506,546,465,442,443,527,554,494,559,550,564,589,564,530,499,526,480,461,407,366,346,286,325,245,223,174,90,75,67,136,134,112,132,122,89,88,50,44,48,35,30,20,14,15,14,10,6,5,2,1,0,0,2
26,Архангельская область без автономии,2020,1013856,102.9,184916,552669,276271,8932,9741,10683,11997,12221,12533,12491,12492,12152,12359,12288,11895,11871,10852,11122,11287,10610,10594,9249,7993,7278,7792,7637,8249,8588,8426,8347,9352,11200,13275,14476,16187,17354,17193,16410,16607,17482,16962,15996,16449,15718,16004,15871,16260,15839,14855,13919,14126,13097,12900,12174,12035,12296,12871,13313,13438,14411,14634,15965,16642,15886,15849,15465,15357,15837,15662,13557,13543,12956,12025,12445,8603,8724,8024,4524,3140,2632,3970,6619,5971,6376,5672,5352,3643,3155,2377,2230,2660,1621,1285,995,833,600,499,321,189,113,76,35,14,31
27,Вологодская область,2020,1159573,105.4,225188,633429,300956,11102,12234,13332,15562,16184,15887,16164,16406,15206,14170,14103,13967,13516,12726,12212,12417,11954,11475,9902,9668,8863,9266,9176,9886,10525,10955,11672,13148,14088,15644,17206,18416,19999,19816,19526,19316,20080,19706,18582,18713,17708,17602,16909,16939,16357,15807,15048,14968,14353,14019,13347,13183,13571,14660,15506,16351,16766,17093,18309,19175,18929,18183,17884,16941,17215,16759,14474,14224,13644,13053,13610,8875,8385,7772,4245,2929,2280,3835,7448,6071,7054,6009,5606,3777,3416,2477,2376,2456,2292,1908,1358,1135,817,595,426,273,170,119,39,38,35
28,Калининградская область,2020,1015289,99.2,181391,584533,249365,9495,10524,11110,12552,12675,12679,12504,12446,11806,11432,11375,11506,11005,10089,10089,10104,10773,12111,10491,10675,9987,9825,8984,9935,10601,9802,10419,11822,14222,16623,16969,17610,17976,17810,18098,17531,17143,16391,15999,17291,15274,15151,14817,14929,14960,14047,14391,14413,13959,14154,12790,12842,12103,12192,12993,13303,13858,14203,14716,15664,14517,14522,13570,13598,13475,13106,12080,12000,11870,11322,11236,9036,8147,6873,4205,3148,2732,3761,5255,5348,5504,5108,4883,3634,2777,1863,1779,1833,1426,1406,1099,856,676,547,321,242,132,77,31,15,41
29,Ленинградская область,2020,1950942,101.1,271689,1163516,515737,13034,14982,15818,17775,19374,17497,17374,18313,17389,19483,18641,17211,16238,15902,16552,16106,17359,18359,19253,21730,20709,19060,17296,19847,21617,20146,20386,23413,26800,34341,35378,36015,37871,39879,41343,35894,36270,34072,31836,38182,31687,32198,28361,30286,31165,27944,26418,26873,25303,27057,24268,23998,21724,22801,27118,24225,27224,27770,29416,32912,29648,30561,28247,29524,28459,27424,24779,24901,22924,23683,22768,17493,16125,14042,9450,6392,5012,6875,10796,10534,11793,11085,10467,7273,6111,4218,3914,4312,3166,2986,2234,1824,1472,1033,742,427,329,205,84,36,101
30,Мурманская область,2020,692240,105.1,131290,409096,151854,6768,7405,7777,8558,8889,9046,8888,9101,8716,8915,8551,8476,8199,7645,7051,7305,7243,7426,6535,6104,5130,5388,5436,6383,6678,7027,6681,7735,9355,10591,11590,12684,13249,13465,12879,12834,12879,12189,11508,12050,11609,11738,11403,11501,11195,11199,10634,10623,10100,9882,9301,8988,8685,8856,9031,9245,9623,9829,10229,10419,9784,9327,8901,8518,8612,8421,7617,7503,7055,6454,6673,4969,4560,4184,2476,1882,1400,2008,3282,2930,3040,2787,2646,1854,1482,1043,796,891,604,557,417,381,276,196,130,84,28,34,7,8,4
31,Новгородская область,2020,592823,102.4,106325,316688,169810,5177,5807,6362,7125,7367,7353,7309,7472,7031,6958,6807,6735,6681,6149,5871,6121,5621,5715,5125,4485,4581,5192,4889,5136,5427,5800,5015,5885,6800,7944,8633,9108,10394,9833,9518,9346,9654,9362,8667,9199,8637,8558,8212,8464,8529,8031,7786,7831,7573,7736,7049,7000,7166,7600,8009,8078,8506,9216,8916,9153,9884,10151,9891,9511,8601,8439,7554,7376,7845,7533,7708,5789,5217,4502,2842,2058,1667,2356,4279,3660,4159,3859,3585,2537,2134,1591,1508,1486,1263,1097,802,728,530,346,224,157,101,49,41,20,39
